Second,Rate
0,91.4634
500,91.4634
1000,91.1834
1500,91.8788
2000,91.1772
2500,89.7992
3000,90.3571
3500,92.0227
4000,91.9105
4500,91.141
5000,91.9571
5500,91.8744
6000,90.1645
6500,89.8047
7000,91.6464
7500,93.1426
8000,93.4519
8500,92.3365
9000,91.5574
9500,92.0669
10000,92.2745
10500,92.7285
11000,94.4017
11500,95.7123
12000,95.2184
12500,95.2685
13000,96.3945
13500,96.8731
14000,97.1613
14500,97.054
15000,97.7903
15500,98.6842
16000,98.6842
16500,98.8201
17000,99.1469
17500,99.3377
18000,99.3377
18500,99.3377
19000,99.1469
19500,98.9404
20000,99.0789
20500,98.9587
21000,99.3053
21500,99.7168
22000,99.4225
22500,99.7811
23000,101.133
23500,102.041
24000,101.372
24500,100.954
25000,101.278
25500,101.495
26000,101.839
26500,102.041
27000,102.041
27500,102.041
28000,102.041
28500,102.228
29000,102.578
29500,102.67
30000,102.32
30500,102.041
31000,102.041
31500,101.581
32000,101.059
32500,101.174
33000,101.166
33500,99.5098
34000,98.0392
34500,97.8279
35000,96.9769
35500,95.6878
36000,95.2898
36500,95.2657
37000,93.4809
37500,91.1667
38000,90.3614
38500,88.0565
39000,85.8787
39500,85.819
40000,84.4828
40500,83.5102
41000,83.5912
41500,83.184
42000,83.0755
42500,83.1042
43000,82.674
43500,82.6416
44000,82.6266
44500,82.1936
45000,82.2086
45500,81.7388
46000,80.637
46500,80.2139
47000,80.2139
47500,80.2415
48000,80.4571
48500,80.7847
49000,81.0026
49500,81.0811
50000,81.0811
50500,81.3063
51000,82.4324
51500,83.5102
52000,84.1379
52500,85.3978
53000,85.5231
53500,85.0443
54000,85.4237
54500,85.1719
55000,84.9153
55500,85.3747
56000,86.185
56500,86.7052
57000,86.8383
57500,87.0903
58000,87.2093
58500,87.2093
59000,87.3113
59500,87.5746
60000,87.9856
60500,88.2353
61000,88.8264
61500,90.721
62000,92.0245
62500,92.0245
63000,91.4768
63500,90.1074
64000,89.2857
64500,90.463
65000,91.9982
65500,92.3535
66000,93.6437
66500,93.229
67000,91.8115
67500,92.6347
68000,93.1677
68500,93.7255
69000,93.1451
69500,91.5578
70000,91.3269
70500,92.3565
71000,93.389
71500,93.9649
72000,94.7596
72500,95.6767
73000,96.7582
73500,97.6169
74000,97.9552
74500,98.1321
75000,98.4546
75500,98.6842
76000,98.6842
76500,98.6842
77000,98.6842
77500,98.7522
78000,99.0789
78500,99.6689
79000,100
79500,100
80000,100
80500,100.067
81000,100.403
81500,100.671
82000,100.949
82500,101.507
83000,101.757
83500,101.633
84000,101.823
84500,102.424
85000,103.068
85500,103.423
86000,103.233
86500,103.034
87000,103.151
87500,103.034
88000,103.134
88500,103.448
89000,103.448
89500,103.448
90000,103.618
90500,103.977
91000,104.167
91500,104.161
92000,103.802
92500,103.756
93000,103.862
93500,103.362
94000,103.034
94500,103.075
95000,102.565
95500,101.329
96000,100.96
96500,101.3
97000,100.711
97500,99.4639
98000,99.0789
98500,98.9927
99000,98.1459
99500,97.6987
100000,97.5524
100500,96.4537
101000,93.8084
101500,92.2608
102000,92.0937
102500,91.3595
103000,91.2461
103500,90.0043
104000,88.3902
104500,88.2833
105000,88.5444
105500,87.4915
106000,85.9699
106500,85.6912
107000,84.9689
107500,84.2697
108000,84.2697
108500,84.2697
109000,84.4506
109500,84.8552
110000,85.3966
110500,85.9468
111000,85.7898
111500,85.0731
112000,84.7458
112500,85.0944
113000,85.5787
113500,85.7143
114000,85.4903
114500,85.2468
115000,85.3837
115500,86.8877
116000,88.2353
116500,86.9463
117000,86.9463
117500,86.9463
118000,86.9463
118500,85.6331
119000,87.4806
119500,88.8293
120000,90.5285
120500,91.3636
121000,92.6799
121500,93.75
122000,94.2014
122500,95.1731
123000,95.9236
123500,96.464
124000,96.5385
124500,96.3871
125000,96.6228
125500,96.7842
126000,97.0984
126500,97.6572
127000,98.1613
127500,98.5475
128000,98.6378
128500,98.3153
129000,98.3359
129500,98.8885
130000,99.0789
130500,99.0331
131000,99.5263
131500,100
132000,99.1373
132500,99.2432
133000,100.944
133500,101.362
134000,99.8657
134500,98.6842
135000,98.9665
135500,98.4525
136000,97.4782
136500,97.6698
137000,98.0392
137500,97.1267
138000,97.3302
138500,98.892
139000,99.1404
139500,98.5695
140000,99.098
140500,100.295
141000,100.4
141500,100.105
142000,100
142500,99.9421
143000,99.2842
143500,98.9692
144000,99.2959
144500,99.0417
145000,98.3924
145500,98.0418
146000,98.3643
146500,98.1767
147000,97.8947
147500,98.4023
148000,98.6429
148500,98.3204
149000,98.6262
149500,99.5059
150000,99.4131
150500,98.7099
151000,98.8651
151500,99.3377
152000,99.058
152500,98.9404
153000,99.0789
153500,98.8698
154000,98.6842
154500,99.011
155000,99.0789
155500,98.9404
156000,99.0789
156500,98.9404
157000,99.0606
157500,99.0293
158000,98.7025
158500,98.5191
159000,98.1966
159500,98.0808
160000,98.73
160500,97.1986
161000,94.6995
161500,94.3396
162000,94.2072
162500,94.2072
163000,94.2072
163500,94.2072
164000,94.2072
164500,94.2072
165000,88.9888
165500,90.3422
166000,90.9091
166500,91.1685
167000,92.3431
167500,93.904
168000,94.7699
168500,95.2657
169000,96.5805
169500,98.0255
170000,98.9472
170500,100.067
171000,100.677
171500,101.361
172000,101.754
172500,101.633
173000,102.084
173500,102.555
174000,102.788
174500,103.142
175000,102.761
175500,101.782
176000,101.633
176500,101.757
177000,101.544
177500,101.376
178000,101.721
178500,101.732
179000,101.387
179500,101.351
180000,101.351
180500,101.297
181000,100.957
181500,101
182000,101.074
182500,100.35
183000,99.6098
183500,99.2802
184000,98.9535
184500,99.6379
185000,100.631
185500,100.478
186000,100.268
186500,100.524
187000,101.074
187500,101.351
188000,101.351
188500,101.569
189000,101.569
189500,101.569
190000,100.623
190500,99.6296
191000,99.6296
191500,104.167
192000,103.917
192500,103.75
193000,104.14
193500,104.671
194000,104.826
194500,104.102
195000,103.448
195500,103.448
196000,103.23
196500,102.876
197000,102.839
197500,103.151
198000,103.051
198500,103.077
199000,103.716
199500,104.092
200000,104.167
200500,104.167
201000,104.167
201500,104.178
202000,104.543
202500,104.572
203000,104.207
203500,104.167
204000,104.167
204500,103.967
205000,103.293
205500,103.134
206000,103.448
206500,103.168
207000,103.034
207500,102.989
208000,102.418
208500,102.08
209000,102.429
209500,102.084
210000,101.918
210500,102.573
211000,102.74
211500,102.74
212000,102.74
212500,102.74
213000,102.74
213500,102.74
214000,102.536
214500,101.501
215000,99.6778
215500,98.6842
216000,98.3695
216500,96.6559
217000,94.9417
217500,94.7815
218000,94.9367
218500,92.2468
219000,90.7785
219500,92.6852
220000,92.9815
220500,92.5926
221000,92.8042
221500,93.3543
222000,94.0162
222500,94.3396
223000,94.3396
223500,94.3396
224000,94.4471
224500,94.7456
225000,94.9367
225500,94.9367
226000,94.9367
226500,95.216
227000,96.1549
227500,97.1085
228000,97.6674
228500,98.1818
229000,98.5578
229500,98.8
230000,99.4579
230500,99.3579
231000,99.2
231500,99.8421
232000,100
232500,100
233000,100
233500,100
234000,100
234500,100.188
235000,100.523
235500,100.612
236000,100.277
236500,100
237000,100.26
237500,100.4
238000,100.268
238500,100.53
239000,101.074
239500,101.009
240000,100.949
240500,100.862
241000,100.541
241500,100.968
242000,101.308
242500,100.632
243000,100.29
243500,100.854
244000,101.074
244500,100.946
245000,101.151
245500,101.735
246000,101.718
246500,101.633
247000,101.955
247500,101.767
248000,101.224
248500,101.498
249000,102.041
249500,101.746
250000,101.633
250500,101.928
251000,101.931
251500,101.633
252000,101.743
252500,101.71
253000,101.365
253500,101.555
254000,101.476
254500,100.454
255000,99.2
255500,99.3421
256000,98.7097
256500,97.451
257000,97.1394
257500,95.6458
258000,95.6348
258500,95.0514
259000,93.2661
259500,92.9896
260000,91.2979
260500,91.8811
261000,93.2204
261500,92.6499
262000,94.1279
262500,94.8972
263000,94.1038
263500,93.508
264000,92.9348
264500,92.9446
265000,92.6327
265500,92.4224
266000,92.9574
266500,93.1045
267000,91.9752
267500,92.1715
268000,93.6149
268500,93.5849
269000,93.8568
269500,93.8099
270000,93.0468
270500,92.5223
271000,91.8451
271500,91.184
272000,91.2928
272500,91.8505
273000,92.1171
273500,93.2747
274000,93.6338
274500,93.2075
275000,93.985
275500,94.7098
276000,92.704
276500,91.3256
277000,92.6738
277500,93.1265
278000,92.555
278500,92.2427
279000,92.5267
279500,92.4932
280000,91.9286
280500,91.4634
281000,91.7751
281500,92.4133
282000,92.9538
282500,93.1677
283000,93.7692
283500,94.6537
284000,94.9367
284500,94.9367
285000,95.4771
285500,96.4853
286000,97.3077
286500,97.9101
287000,98.4211
287500,98.372
288000,98.5326
288500,98.9964
289000,98.8358
289500,98.7182
290000,99.045
290500,99.6344
291000,99.7351
291500,99.6
292000,99.9271
292500,100.4
293000,100.303
293500,100.301
294000,100.636
294500,100.671
295000,100.78
295500,101.12
296000,101.351
296500,101.351
297000,101.616
297500,101.961
298000,101.897
298500,101.633
299000,101.757
299500,101.677
300000,101.957
300500,102.651
301000,102.552
301500,102.329
302000,102.516
302500,102.74
303000,102.74
303500,102.146
304000,101.683
304500,102.101
305000,102.114
305500,100.964
306000,100.379
306500,100.357
307000,100.021
307500,100
308000,99.8887
308500,99.6
309000,99.7113
309500,100
310000,100
310500,100.177
311000,100.513
311500,100.671
312000,100.671
312500,100.671
313000,100.93
313500,101.074
314000,100.815
314500,100.671
315000,100.671
315500,100.671
316000,102.905
316500,102.905
317000,96.4238
317500,99.8268
318000,97.9788
318500,102.074
319000,100.874
319500,100.874
320000,100.874
320500,94.7721
321000,93.8649
321500,91.706
322000,91.5335
322500,90.5322
323000,90.0974
323500,89.8032
324000,89.0012
324500,88.7574
325000,89.2846
325500,89.9936
326000,90.3582
326500,90.7273
327000,91.1885
327500,91.6587
328000,91.9392
328500,92.0245
329000,92.0245
329500,92.2472
330000,91.2177
330500,88.7639
331000,88.9619
331500,89.3257
332000,87.6901
332500,86.6545
333000,86.462
333500,87.531
334000,87.6069
334500,83.9691
335000,84.213
335500,87.01
336000,85.5312
336500,85.7983
337000,87.2093
337500,87.2093
338000,87.2093
338500,87.2093
339000,87.9091
339500,89.2146
340000,89.8204
340500,90.2907
341000,90.9858
341500,91.7399
342000,93.603
342500,94.6477
343000,94.557
343500,94.9766
344000,95.4782
344500,96.2663
345000,96.7742
345500,96.5583
346000,96.5279
346500,97.1964
347000,98.1818
347500,98.3617
348000,98.543
348500,99.571
349000,100.383
349500,100.609
350000,100.274
350500,100.33
351000,100.935
351500,101.49
352000,101.465
352500,100.657
353000,100.413
353500,100.671
354000,100.96
354500,101.3
355000,101.351
355500,101.351
356000,101.313
356500,100.973
357000,101.623
357500,102.657
358000,102.947
358500,102.856
359000,102.207
359500,102.68
360000,103.836
360500,103.833
361000,103.202
361500,102.822
362000,102.893
362500,103.345
363000,103.949
363500,104.575
364000,104.189
364500,103.759
365000,103.862
365500,103.569
366000,103.572
366500,104.001
367000,104.601
367500,104.895
368000,104.566
368500,103.932
369000,103.537
369500,103.448
370000,103.163
370500,102.145
371000,101.726
371500,101.726
372000,101.887
372500,102.551
373000,102.74
373500,102.74
374000,102.74
374500,102.74
375000,102.429
375500,102.329
376000,102.639
376500,102.74
377000,102.595
377500,101.901
378000,101.351
378500,101.066
379000,100.726
379500,100.826
380000,100.892
380500,100.071
381000,99.3377
381500,99.3377
382000,99.3377
382500,99.3377
383000,99.3377
383500,99.3222
384000,98.6729
384500,98.0392
385000,97.1457
385500,95.5944
386000,94.8943
386500,94.0097
387000,92.9492
387500,92.795
388000,92.8148
388500,91.8396
389000,90.9091
389500,90.9091
390000,90.969
390500,91.2461
391000,90.9653
391500,90.4143
392000,90.4294
392500,90.7032
393000,89.9107
393500,88.6845
394000,88.4024
394500,88.5527
395000,88.5318
395500,88.2708
396000,88.0892
396500,87.0751
397000,87.3645
397500,88.4804
398000,87.8321
398500,87.4725
399000,86.8919
399500,85.7083
400000,85.5331
400500,87.2429
401000,89.1654
401500,89.6899
402000,89.8204
402500,90.0476
403000,90.6003
403500,91.1391
404000,91.1308
404500,91.153
405000,91.9142
405500,92.7996
406000,93.1677
406500,93.4565
407000,94.8243
407500,96.1923
408000,96.3871
408500,96.5335
409000,97.3966
409500,98.2742
410000,98.6068
410500,98.6842
411000,98.7208
411500,99.0476
412000,99.3377
412500,99.3377
413000,99.4993
413500,99.9271
414000,100.465
414500,101.044
415000,101.351
415500,101.104
416000,100.764
416500,100.788
417000,101.128
417500,101.351
418000,101.688
418500,102.312
419000,102.894
419500,103.318
420000,103.338
420500,103.034
421000,103.145
421500,103.448
422000,103.744
422500,103.862
423000,103.566
423500,103.575
424000,103.934
424500,104.132
425000,103.419
425500,103.688
426000,104.498
426500,104.053
427000,103.904
427500,104.478
428000,104.797
428500,104.073
429000,103.799
429500,104.458
430000,104.583
430500,104.283
431000,104.032
431500,103.908
432000,104.718
432500,104.842
433000,104.505
433500,104.583
434000,103.794
434500,103.167
435000,103.044
435500,102.621
436000,102.835
436500,103.105
437000,103.034
437500,102.927
438000,102.294
438500,101.844
439000,101.191
439500,101.044
440000,101.041
440500,100.946
441000,101.256
441500,101.232
442000,100.733
442500,99.5187
443000,98.3798
443500,98.0573
444000,97.7255
444500,97.093
445000,96.7643
445500,96.1479
446000,95.7741
446500,95.465
447000,94.4742
447500,94.481
448000,94.0805
448500,94.2113
449000,95.5438
449500,95.7692
450000,95.9015
450500,93.4662
451000,90.57
451500,89.5977
452000,86.7899
452500,84.9518
453000,84.8726
453500,84.1969
454000,84.038
454500,84.2697
455000,84.3097
455500,84.5477
456000,84.9268
456500,85.1676
457000,85.2273
457500,86.1549
458000,87.2887
458500,87.7575
459000,88.6529
459500,89.5124
460000,90.2003
460500,91.0625
461000,91.4634
461500,91.4634
462000,91.625
462500,91.8293
463000,91.6677
463500,91.1973
464000,91.0976
464500,91.3636
465000,91.4214
465500,88.7931
466000,86.2069
466500,86.564
467000,88.1034
467500,86.8496
468000,85.7273
468500,88.6554
469000,88.2382
469500,87.5511
470000,89.3578
470500,89.8398
471000,90.1104
471500,90.3614
472000,90.3614
472500,91.0664
473000,91.0664
473500,91.0664
474000,91.0664
474500,94.1248
475000,94.1248
475500,94.1248
476000,95.1641
476500,95.6183
477000,95.9995
477500,96.1538
478000,97.419
478500,98.4314
479000,98.2895
479500,98.7686
480000,99.5684
480500,100
481000,100
481500,100
482000,99.8199
482500,99.4887
483000,99.2959
483500,98.9692
484000,98.6842
484500,98.9116
485000,98.9116
485500,98.9116
486000,93.7521
486500,92.3333
487000,92.3333
487500,92.3333
488000,92.3333
488500,102.162
489000,101.918
489500,102.162
490000,102.74
490500,102.449
491000,102.1
491500,102.209
492000,102.449
492500,102.377
493000,102.84
493500,103.799
494000,103.282
494500,102.684
495000,103.376
495500,103.862
496000,103.75
496500,103.871
497000,104.167
497500,103.853
498000,103.75
498500,104.063
499000,104.02
499500,103.75
500000,103.897
500500,104.167
501000,104.167
501500,104.167
502000,104.167
502500,103.991
503000,103.75
503500,103.925
504000,104.167
504500,104.167
505000,104.167
505500,104.167
506000,103.963
506500,103.459
507000,103.034
507500,103.151
508000,103.066
508500,102.74
509000,102.74
509500,102.74
510000,102.74
510500,102.911
511000,103.624
511500,104.167
512000,103.83
512500,103.75
513000,103.641
513500,103.17
514000,103.151
514500,102.989
515000,102.74
515500,101.747
516000,99.7019
516500,98.3445
517000,97.7376
517500,96.7728
518000,95.8256
518500,95.7913
519000,95.9236
519500,95.3942
520000,94.3757
520500,94.0542
521000,94.7963
521500,95.2448
522000,95.1592
522500,95.3116
523000,95.2439
523500,94.9415
524000,95.0746
524500,95.3769
525000,95.5414
525500,95.5414
526000,94.527
526500,92.9413
527000,92.2222
527500,92.3336
528000,92.3676
528500,89.6296
529000,89.6296
529500,86.2651
530000,87.597
530500,84.3232
531000,86.0246
531500,84.7059
532000,81.9415
532500,84.7059
533000,84.1135
533500,83.2941
534000,86.2782
534500,85.6444
535000,85.6236
535500,87.9036
536000,88.0473
536500,88.2467
537000,88.7574
537500,88.9232
538000,89.4547
538500,90.0844
539000,89.8352
539500,89.4402
540000,90.5109
540500,90.655
541000,90.1863
541500,90.6277
542000,90.5455
542500,90.9124
543000,91.8519
543500,91.9791
544000,91.075
544500,90.9477
545000,92.3232
545500,93.4665
546000,93.922
546500,94.8177
547000,96.1183
547500,96.3057
548000,96
548500,96.367
549000,96.402
549500,95.5745
550000,95.598
550500,96.4875
551000,96.8395
551500,97.1537
552000,98.028
552500,98.9172
553000,99.2593
553500,99.5671
554000,100.183
554500,100.285
555000,100.319
555500,100.914
556000,101.468
556500,101.895
557000,102.041
557500,102.041
558000,102.041
558500,101.74
559000,101.633
559500,101.583
560000,101.224
560500,101.525
561000,101.646
561500,101.682
562000,101.757
562500,101.426
563000,101.351
563500,101.351
564000,101.368
564500,101.713
565000,102.041
565500,102.041
566000,102.407
566500,102.733
567000,102.207
567500,102.568
568000,102.383
568500,102.224
569000,102.568
569500,101.863
570000,101.973
570500,102.499
571000,102.74
571500,102.74
