Second,Rate
0,59.2885
500,59.2885
1000,59.2885
1500,58.8973
2000,58.4359
2500,58.7312
3000,59.1926
3500,58.9342
4000,58.4728
4500,57.8148
5000,57.041
5500,56.5014
6000,55.9733
6500,55.903
7000,56.2174
7500,56.7069
8000,57.6943
8500,58.4568
9000,58.8014
9500,59.4547
10000,61.1772
10500,61.8198
11000,59.6395
11500,57.9757
12000,57.315
12500,56.8477
13000,57.0645
13500,57.2652
14000,57.5967
14500,57.9151
15000,57.8072
15500,57.6959
16000,57.3042
16500,56.8671
17000,58.7233
17500,61.1785
18000,61.2107
18500,60.5884
19000,59.4899
19500,58.3177
20000,57.8776
20500,57.5434
21000,58.0224
21500,58.8144
22000,58.6766
22500,58.1066
23000,58.0485
23500,58.2738
24000,58.9334
24500,59.9925
25000,59.6524
25500,58.1461
26000,57.3197
26500,56.9932
27000,56.8562
27500,56.9642
28000,57.1993
28500,57.8651
29000,58.7626
29500,60.8298
30000,62.0315
30500,60.3091
31000,58.761
31500,57.5353
32000,56.5658
32500,56.2489
33000,55.9701
33500,56.8106
34000,57.6716
34500,57.3007
35000,56.8636
35500,56.4042
36000,55.8761
36500,55.9608
37000,56.2753
37500,56.391
38000,56.391
38500,56.2339
39000,55.8162
39500,55.5556
40000,55.5556
40500,55.573
41000,55.8851
41500,56.1798
42000,56.2769
42500,56.3825
43000,57.2633
43500,58.3647
44000,57.9332
44500,57.0455
45000,57.2357
45500,57.8964
46000,58.6679
46500,59.5981
47000,59.3446
47500,58.1908
48000,57.479
48500,57.042
49000,56.7379
49500,56.5243
50000,56.5249
50500,57.0651
51000,57.598
51500,58.3899
52000,58.9397
52500,58.0381
53000,57.2348
53500,56.6987
54000,56.1798
54500,56.1798
55000,56.1798
55500,56.9245
56000,57.9044
56500,58.7038
57000,59.5145
57500,59.3594
58000,58.7758
58500,58.0947
59000,57.3149
59500,56.8618
60000,56.5402
60500,56.3479
61000,56.2423
61500,56.2374
62000,56.4494
62500,56.653
63000,56.9771
63500,57.2581
64000,57.3677
64500,57.4713
65000,57.4713
65500,57.4713
66000,56.903
66500,56.2573
67000,56.1798
67500,56.1798
68000,56.5724
68500,57.2181
69000,57.7631
69500,58.3244
70000,58.5399
70500,58.4259
71000,58.3658
71500,58.3658
72000,58.7911
72500,59.9726
73000,60.4974
73500,59.8949
74000,58.9085
74500,57.2365
75000,56.0365
75500,55.4192
76000,54.9548
76500,55.1575
77000,55.3506
77500,55.902
78000,56.5286
78500,56.4427
79000,56.2307
79500,56.3121
80000,56.5241
80500,56.5501
81000,56.4438
81500,56.431
82000,56.5374
82500,56.7148
83000,57.1486
83500,57.4713
84000,57.4713
84500,57.4281
85000,56.8879
85500,56.391
86000,56.8008
86500,57.2312
87000,57.2519
87500,57.2519
88000,57.3353
88500,57.4449
89000,57.3976
89500,57.2879
90000,57.3151
90500,57.4248
91000,57.6343
91500,57.9685
92000,58.433
92500,59.1251
93000,60.6853
93500,63.5321
94000,66.2369
94500,68.0319
95000,66.5347
95500,63.7766
96000,59.9915
96500,56.4358
97000,57.6926
97500,59.6027
98000,59.7183
98500,59.3625
99000,58.9342
99500,58.4728
100000,58.4469
100500,58.5609
101000,59.5505
101500,60.9913
102000,61.5655
102500,61.692
103000,60.8818
103500,59.7795
104000,59.7029
104500,59.941
105000,59.9101
105500,59.7906
106000,59.4122
106500,58.9435
107000,58.5037
107500,58.0495
108000,57.6367
108500,57.1963
109000,57.1496
109500,57.3681
110000,57.8197
110500,58.6116
111000,59.1991
111500,59.552
112000,59.6198
112500,59.2669
113000,59.7371
113500,61.5903
114000,63.6519
114500,65.6045
115000,65.4723
115500,63.6515
116000,60.6914
116500,57.5879
117000,57.0979
117500,57.535
118000,57.6923
118500,57.6923
119000,57.6923
119500,57.6923
120000,58.4995
120500,60.5176
121000,61.4446
121500,60.8224
122000,59.7211
122500,58.1051
123000,57.0901
123500,56.6596
124000,56.4174
124500,56.5238
125000,56.6175
125500,56.7247
126000,56.8064
126500,56.0726
127000,55.3506
127500,55.525
128000,55.7308
128500,55.8345
129000,55.9385
129500,56.3239
130000,56.9648
130500,56.9597
131000,56.3188
131500,55.9701
132000,55.9701
132500,55.9878
133000,56.0926
133500,56.1866
134000,56.3986
134500,56.6038
135000,57.5112
